id,domain,question,a,b,c,d,correct,explanation,reference
Q125,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Flexible schedule,Clear scope and strong change control,Upfront payment,No audits,B,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q126,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Assess impact on baselines and submit to change control,Ask team to absorb it,Approve it immediately,Reject any change that adds scope,A,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q127,Process,Critical path is slipping; some non‑critical tasks have float. What should you do first?,Re‑estimate all work,Extend the deadline,Fast‑track critical activities and re‑sequence using available float,Add random buffers,C,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q128,Process,Estimate accuracy is poor. What technique improves it most?,High‑level analogy only,Pad each task by 20%,Single expert opinion,Bottom‑up with three‑point estimates and historical data,D,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q129,Process,Repeated defects come from the same source. Which tools help most?,Histogram only,Scatter diagram only,Pareto plus root‑cause analysis,Run chart only,C,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q130,Process,A vendor suggests cost‑plus contract. What do you ensure first?,No audits,Flexible schedule,Clear scope and strong change control,Upfront payment,C,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q131,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Approve it immediately,Reject any change that adds scope,Assess impact on baselines and submit to change control,Ask team to absorb it,C,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q132,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Add random buffers,Fast‑track critical activities and re‑sequence using available float,Re‑estimate all work,Extend the deadline,B,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q133,Process,Estimate accuracy is poor. What technique improves it most?,Single expert opinion,High‑level analogy only,Pad each task by 20%,Bottom‑up with three‑point estimates and historical data,D,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q134,Process,Repeated defects come from the same source. Which tools help most?,Scatter diagram only,Pareto plus root‑cause analysis,Run chart only,Histogram only,B,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q135,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Upfront payment,Clear scope and strong change control,No audits,Flexible schedule,B,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q136,Process,You discover a change fixes a defect but adds scope. What should you do next?,Reject any change that adds scope,Approve it immediately,Assess impact on baselines and submit to change control,Ask team to absorb it,C,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q137,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Fast‑track critical activities and re‑sequence using available float,Extend the deadline,Add random buffers,Re‑estimate all work,A,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q138,Process,Estimate accuracy is poor. What technique improves it most?,High‑level analogy only,Bottom‑up with three‑point estimates and historical data,Single expert opinion,Pad each task by 20%,B,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q139,Process,Repeated defects come from the same source. Which tools help most?,Pareto plus root‑cause analysis,Run chart only,Scatter diagram only,Histogram only,A,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q140,Process,A vendor suggests cost‑plus contract. What do you ensure first?,No audits,Upfront payment,Clear scope and strong change control,Flexible schedule,C,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q141,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Approve it immediately,Reject any change that adds scope,Ask team to absorb it,Assess impact on baselines and submit to change control,D,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q142,Process,Critical path is slipping; some non‑critical tasks have float. Best action?,Re‑estimate all work,Fast‑track critical activities and re‑sequence using available float,Add random buffers,Extend the deadline,B,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q143,Process,Estimate accuracy is poor. What technique improves it most?,Single expert opinion,Bottom‑up with three‑point estimates and historical data,High‑level analogy only,Pad each task by 20%,B,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q144,Process,Repeated defects come from the same source. Which tools help most?,Histogram only,Run chart only,Pareto plus root‑cause analysis,Scatter diagram only,C,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q145,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Flexible schedule,No audits,Upfront payment,Clear scope and strong change control,D,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q146,Process,You discover a change fixes a defect but adds scope. What is the best next step?,Reject any change that adds scope,Approve it immediately,Assess impact on baselines and submit to change control,Ask team to absorb it,C,Follow integrated change control and assess impacts.,PMBOK 7 / ECO
Q147,Process,Critical path is slipping; some non‑critical tasks have float. What should you do first?,Re‑estimate all work,Extend the deadline,Fast‑track critical activities and re‑sequence using available float,Add random buffers,C,Focus on critical path; use float on non‑critical tasks.,PMBOK 7 / ECO
Q148,Process,Estimate accuracy is poor. What technique improves it most?,High‑level analogy only,Single expert opinion,Bottom‑up with three‑point estimates and historical data,Pad each task by 20%,C,Bottom‑up plus three‑point and historicals improves accuracy.,PMBOK 7 / ECO
Q149,Process,Repeated defects come from the same source. Which tools help most?,Histogram only,Pareto plus root‑cause analysis,Scatter diagram only,Run chart only,B,Use Pareto to prioritise and RCA to eliminate causes.,PMBOK 7 / ECO
Q150,Process,A vendor suggests cost‑plus contract. What do you ensure first?,Upfront payment,Flexible schedule,Clear scope and strong change control,No audits,C,Cost‑plus shifts cost risk to buyer; control scope/changes.,PMBOK 7 / ECO
Q151,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The WBS,The resource histogram,The risk register only,Benefits management plan and advice to governance,D,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q152,Business,Who is typically accountable for tracking benefits after handover?,PMO only,Project manager,Sponsor only,Operations/benefits owner,D,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q153,Business,The project is technically successful but ROI is weak. Most likely gap?,Issue log,Benefits realisation planning and transition,Schedule network diagram,Risk register,B,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q154,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,WBS,Change log,Project charter,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q155,Business,Regulatory change reduces expected value. Appropriate action?,Stop without review,Reduce quality criteria,Ignore until closing,Update benefits plan and consult sponsor/board,D,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q156,Business,"Mid‑project, benefits look lower than planned. What should you update first?",Benefits management plan and advice to governance,The risk register only,The resource histogram,The WBS,A,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q157,Business,Who is typically accountable for tracking benefits after handover?,Operations/benefits owner,Project manager,Sponsor only,PMO only,A,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q158,Business,The project is technically successful but ROI is weak. Most likely gap?,Risk register,Issue log,Benefits realisation planning and transition,Schedule network diagram,C,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q159,Business,Which document most clearly links the project to strategy and expected value?,Project charter,Benefits management plan,WBS,Change log,B,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q160,Business,Regulatory change reduces expected value. Appropriate action?,Stop without review,Reduce quality criteria,Ignore until closing,Update benefits plan and consult sponsor/board,D,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q161,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The risk register only,The resource histogram,Benefits management plan and advice to governance,The WBS,C,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q162,Business,Who is typically accountable for tracking benefits after handover?,Project manager,PMO only,Sponsor only,Operations/benefits owner,D,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q163,Business,The project is technically successful but ROI is weak. Most likely gap?,Benefits realisation planning and transition,Schedule network diagram,Risk register,Issue log,A,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q164,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,Change log,WBS,Project charter,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q165,Business,Regulatory change reduces expected value. Appropriate action?,Ignore until closing,Update benefits plan and consult sponsor/board,Reduce quality criteria,Stop without review,B,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q166,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The WBS,Benefits management plan and advice to governance,The risk register only,The resource histogram,B,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q167,Business,Who is typically accountable for tracking benefits after handover?,Sponsor only,Operations/benefits owner,Project manager,PMO only,B,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q168,Business,The project is technically successful but ROI is weak. Most likely gap?,Risk register,Issue log,Benefits realisation planning and transition,Schedule network diagram,C,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q169,Business,Which document most clearly links the project to strategy and expected value?,Project charter,WBS,Change log,Benefits management plan,D,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q170,Business,Regulatory change reduces expected value. Appropriate action?,Ignore until closing,Reduce quality criteria,Stop without review,Update benefits plan and consult sponsor/board,D,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q171,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The resource histogram,Benefits management plan and advice to governance,The risk register only,The WBS,B,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q172,Business,Who is typically accountable for tracking benefits after handover?,Project manager,Sponsor only,PMO only,Operations/benefits owner,D,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q173,Business,The project is technically successful but ROI is weak. Most likely gap?,Benefits realisation planning and transition,Issue log,Schedule network diagram,Risk register,A,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q174,Business,Which document most clearly links the project to strategy and expected value?,Change log,Benefits management plan,Project charter,WBS,B,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q175,Business,Regulatory change reduces expected value. Appropriate action?,Update benefits plan and consult sponsor/board,Ignore until closing,Reduce quality criteria,Stop without review,A,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q176,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The risk register only,The resource histogram,The WBS,Benefits management plan and advice to governance,D,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q177,Business,Who is typically accountable for tracking benefits after handover?,Project manager,Sponsor only,Operations/benefits owner,PMO only,C,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q178,Business,The project is technically successful but ROI is weak. Most likely gap?,Benefits realisation planning and transition,Risk register,Issue log,Schedule network diagram,A,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q179,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,Project charter,WBS,Change log,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q180,Business,Regulatory change reduces expected value. How should you proceed?,Reduce quality criteria,Ignore until closing,Update benefits plan and consult sponsor/board,Stop without review,C,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q181,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The WBS,The resource histogram,Benefits management plan and advice to governance,The risk register only,C,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q182,Business,Who is typically accountable for tracking benefits after handover?,Operations/benefits owner,Project manager,Sponsor only,PMO only,A,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q183,Business,The project is technically successful but ROI is weak. Most likely gap?,Risk register,Benefits realisation planning and transition,Issue log,Schedule network diagram,B,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q184,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,Project charter,WBS,Change log,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q185,Business,Regulatory change reduces expected value. Appropriate action?,Ignore until closing,Reduce quality criteria,Update benefits plan and consult sponsor/board,Stop without review,C,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q186,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The risk register only,The WBS,The resource histogram,Benefits management plan and advice to governance,D,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q187,Business,Who is typically accountable for tracking benefits after handover?,Sponsor only,PMO only,Operations/benefits owner,Project manager,C,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q188,Business,The project is technically successful but ROI is weak. Most likely gap?,Schedule network diagram,Benefits realisation planning and transition,Risk register,Issue log,B,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q189,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,Project charter,Change log,WBS,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q190,Business,Regulatory change reduces expected value. Appropriate action?,Stop without review,Reduce quality criteria,Update benefits plan and consult sponsor/board,Ignore until closing,C,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q191,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The resource histogram,Benefits management plan and advice to governance,The WBS,The risk register only,B,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q192,Business,Who is typically accountable for tracking benefits after handover?,Project manager,PMO only,Operations/benefits owner,Sponsor only,C,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q193,Business,The project is technically successful but ROI is weak. Most likely gap?,Issue log,Schedule network diagram,Benefits realisation planning and transition,Risk register,C,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q194,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,Change log,WBS,Project charter,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q195,Business,Regulatory change reduces expected value. Appropriate action?,Reduce quality criteria,Stop without review,Update benefits plan and consult sponsor/board,Ignore until closing,C,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q196,Business,"Mid‑project, benefits look lower than planned. What should you update first?",Benefits management plan and advice to governance,The resource histogram,The risk register only,The WBS,A,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q197,Business,Who is typically accountable for tracking benefits after handover?,Operations/benefits owner,Sponsor only,PMO only,Project manager,A,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q198,Business,The project is technically successful but ROI is weak. Most likely gap?,Benefits realisation planning and transition,Schedule network diagram,Risk register,Issue log,A,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q199,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,Change log,Project charter,WBS,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q200,Business,Regulatory change reduces expected value. Appropriate action?,Update benefits plan and consult sponsor/board,Stop without review,Reduce quality criteria,Ignore until closing,A,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q201,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The WBS,Benefits management plan and advice to governance,The risk register only,The resource histogram,B,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q202,Business,Who is typically accountable for tracking benefits after handover?,Operations/benefits owner,PMO only,Project manager,Sponsor only,A,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q203,Business,The project is technically successful but ROI is weak. Most likely gap?,Risk register,Issue log,Schedule network diagram,Benefits realisation planning and transition,D,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q204,Business,Which document most clearly links the project to strategy and expected value?,Change log,Benefits management plan,WBS,Project charter,B,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q205,Business,Regulatory change reduces expected value. Appropriate action?,Update benefits plan and consult sponsor/board,Ignore until closing,Reduce quality criteria,Stop without review,A,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q206,Business,"Mid‑project, benefits look lower than planned. What should you update first?",Benefits management plan and advice to governance,The resource histogram,The risk register only,The WBS,A,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q207,Business,Who is typically accountable for tracking benefits after handover?,PMO only,Operations/benefits owner,Sponsor only,Project manager,B,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q208,Business,The project is technically successful but ROI is weak. Most likely gap?,Benefits realisation planning and transition,Schedule network diagram,Risk register,Issue log,A,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q209,Business,Which document most clearly links the project to strategy and expected value?,Project charter,WBS,Change log,Benefits management plan,D,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q210,Business,Regulatory change reduces expected value. How should you proceed?,Stop without review,Update benefits plan and consult sponsor/board,Ignore until closing,Reduce quality criteria,B,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q211,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The resource histogram,The risk register only,Benefits management plan and advice to governance,The WBS,C,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q212,Business,Who is typically accountable for tracking benefits after handover?,PMO only,Sponsor only,Operations/benefits owner,Project manager,C,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q213,Business,The project is technically successful but ROI is weak. Most likely gap?,Benefits realisation planning and transition,Issue log,Risk register,Schedule network diagram,A,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q214,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,WBS,Project charter,Change log,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q215,Business,Regulatory change reduces expected value. Appropriate action?,Ignore until closing,Reduce quality criteria,Update benefits plan and consult sponsor/board,Stop without review,C,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q216,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The resource histogram,The WBS,Benefits management plan and advice to governance,The risk register only,C,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q217,Business,Who is typically accountable for tracking benefits after handover?,PMO only,Sponsor only,Operations/benefits owner,Project manager,C,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q218,Business,The project is technically successful but ROI is weak. Most likely gap?,Issue log,Risk register,Schedule network diagram,Benefits realisation planning and transition,D,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q219,Business,Which document most clearly links the project to strategy and expected value?,Change log,WBS,Project charter,Benefits management plan,D,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q220,Business,Regulatory change reduces expected value. Appropriate action?,Stop without review,Update benefits plan and consult sponsor/board,Ignore until closing,Reduce quality criteria,B,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q221,Business,"Mid‑project, benefits look lower than planned. What should you update first?",The WBS,The risk register only,The resource histogram,Benefits management plan and advice to governance,D,Update benefits outlook and inform governance for decisions.,PMBOK 7 / ECO
Q222,Business,Who is typically accountable for tracking benefits after handover?,Project manager,PMO only,Operations/benefits owner,Sponsor only,C,Operations/benefits owner tracks realisation; PM supports planning.,PMBOK 7 / ECO
Q223,Business,The project is technically successful but ROI is weak. Most likely gap?,Benefits realisation planning and transition,Schedule network diagram,Risk register,Issue log,A,Weak benefits planning/transition leads to value shortfalls.,PMBOK 7 / ECO
Q224,Business,Which document most clearly links the project to strategy and expected value?,Benefits management plan,WBS,Change log,Project charter,A,Benefits management plan ties outcomes to strategic value.,PMBOK 7 / ECO
Q225,Business,Regulatory change reduces expected value. Appropriate action?,Update benefits plan and consult sponsor/board,Ignore until closing,Reduce quality criteria,Stop without review,A,Update benefits outlook and escalate for governance decision.,PMBOK 7 / ECO
Q226,Agile,Best indicator of progress in Agile delivery?,Hours spent,"Working, tested increments",Emails sent,Number of meetings,B,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q227,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Stop the sprint,Move changes to backlog and plan next sprint,Accept any small change,Ignore the PO,B,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q228,Agile,Velocity fluctuates widely. Best response?,Increase WIP,Inspect variability in retrospective and remove impediments,Commit to a fixed velocity,Re‑estimate completed stories,B,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q229,Agile,Who owns and orders the product backlog?,Scrum Master,Product Owner,Project Manager,Developers,B,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q230,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Say Agile won’t work,Fix time and cost; flex scope within MVP and priorities,Fix scope and sacrifice quality,Ignore stakeholders,B,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q231,Agile,Best indicator of progress in Agile delivery?,Hours spent,"Working, tested increments",Emails sent,Number of meetings,B,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q232,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Stop the sprint,Ignore the PO,Move changes to backlog and plan next sprint,D,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q233,Agile,Velocity fluctuates widely. Best response?,Commit to a fixed velocity,Increase WIP,Inspect variability in retrospective and remove impediments,Re‑estimate completed stories,C,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q234,Agile,Who owns and orders the product backlog?,Project Manager,Product Owner,Scrum Master,Developers,B,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q235,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix time and cost; flex scope within MVP and priorities,Ignore stakeholders,Say Agile won’t work,Fix scope and sacrifice quality,A,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q236,Agile,Best indicator of progress in Agile delivery?,Emails sent,Number of meetings,Hours spent,"Working, tested increments",D,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q237,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Stop the sprint,Ignore the PO,Move changes to backlog and plan next sprint,D,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q238,Agile,Velocity fluctuates widely. Best response?,Re‑estimate completed stories,Inspect variability in retrospective and remove impediments,Increase WIP,Commit to a fixed velocity,B,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q239,Agile,Who owns and orders the product backlog?,Product Owner,Scrum Master,Project Manager,Developers,A,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q240,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix time and cost; flex scope within MVP and priorities,Ignore stakeholders,Say Agile won’t work,Fix scope and sacrifice quality,A,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q241,Agile,Best indicator of progress in Agile delivery?,"Working, tested increments",Number of meetings,Hours spent,Emails sent,A,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q242,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Stop the sprint,Accept any small change,Ignore the PO,Move changes to backlog and plan next sprint,D,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q243,Agile,Velocity fluctuates widely. Best response?,Inspect variability in retrospective and remove impediments,Re‑estimate completed stories,Commit to a fixed velocity,Increase WIP,A,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q244,Agile,Who owns and orders the product backlog?,Scrum Master,Project Manager,Developers,Product Owner,D,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q245,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix scope and sacrifice quality,Say Agile won’t work,Fix time and cost; flex scope within MVP and priorities,Ignore stakeholders,C,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q246,Agile,Best indicator of progress in Agile delivery?,Number of meetings,Emails sent,"Working, tested increments",Hours spent,C,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q247,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Move changes to backlog and plan next sprint,Stop the sprint,Ignore the PO,Accept any small change,A,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q248,Agile,Velocity fluctuates widely. Best response?,Inspect variability in retrospective and remove impediments,Re‑estimate completed stories,Commit to a fixed velocity,Increase WIP,A,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q249,Agile,Who owns and orders the product backlog?,Product Owner,Project Manager,Scrum Master,Developers,A,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q250,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix time and cost; flex scope within MVP and priorities,Fix scope and sacrifice quality,Ignore stakeholders,Say Agile won’t work,A,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q251,Agile,Best indicator of progress in Agile delivery?,"Working, tested increments",Hours spent,Emails sent,Number of meetings,A,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q252,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Accept any small change,Move changes to backlog and plan next sprint,Stop the sprint,Ignore the PO,B,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q253,Agile,Velocity fluctuates widely. Best response?,Commit to a fixed velocity,Inspect variability in retrospective and remove impediments,Increase WIP,Re‑estimate completed stories,B,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q254,Agile,Who owns and orders the product backlog?,Developers,Scrum Master,Project Manager,Product Owner,D,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q255,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix time and cost; flex scope within MVP and priorities,Fix scope and sacrifice quality,Ignore stakeholders,Say Agile won’t work,A,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q256,Agile,Best indicator of progress in Agile delivery?,"Working, tested increments",Hours spent,Number of meetings,Emails sent,A,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q257,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Ignore the PO,Move changes to backlog and plan next sprint,Accept any small change,Stop the sprint,B,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q258,Agile,Velocity fluctuates widely. Best response?,Inspect variability in retrospective and remove impediments,Re‑estimate completed stories,Increase WIP,Commit to a fixed velocity,A,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q259,Agile,Who owns and orders the product backlog?,Scrum Master,Product Owner,Developers,Project Manager,B,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
Q260,Agile,"Stakeholders demand fixed scope, time, and cost. Agile approach?",Fix time and cost; flex scope within MVP and priorities,Ignore stakeholders,Say Agile won’t work,Fix scope and sacrifice quality,A,Time/cost fixed; scope flexes to maximise value.,PMBOK 7 / ECO
Q261,Agile,Best indicator of progress in Agile delivery?,Hours spent,"Working, tested increments",Number of meetings,Emails sent,B,Agile prioritises working product as the progress measure.,PMBOK 7 / ECO
Q262,Agile,Product Owner changes acceptance criteria mid‑sprint. Team should:,Stop the sprint,Move changes to backlog and plan next sprint,Accept any small change,Ignore the PO,B,Protect sprint commitments; plan changes for future sprints.,PMBOK 7 / ECO
Q263,Agile,Velocity fluctuates widely. Best response?,Inspect variability in retrospective and remove impediments,Commit to a fixed velocity,Increase WIP,Re‑estimate completed stories,A,Use retro to find causes; improve flow and remove impediments.,PMBOK 7 / ECO
Q264,Agile,Who owns and orders the product backlog?,Developers,Product Owner,Scrum Master,Project Manager,B,PO owns and orders the backlog by value and risk.,PMBOK 7 / ECO
